"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","school-anxiety","null","null","2","87775","","","","","","",""
"iat","","1602","f","5","100702","biodiversity","nature","nature","nature","school","true",""
"iat","","1002","j","7","101968","syllabus","school","school","nature","school","true",""
"iat","","695","j","9","102921","library","school","school","nature","school","true",""
"iat","","877","f","11","104060","rainforest","nature","nature","nature","school","true",""
"iat","","741","j","13","105058","exam","school","school","nature","school","true",""
"iat","","489","j","15","105805","textbook","school","school","nature","school","true",""
"iat","","515","j","17","106576","assignment","school","school","nature","school","true",""
"iat","","966","j","19","107807","graduation","school","school","nature","school","true",""
"iat","","685","f","21","108750","carbon","nature","nature","nature","school","true",""
"iat","","584","f","23","109602","mountains","nature","nature","nature","school","true",""
"iat","","1278","f","25","111139","polar","nature","nature","nature","school","true",""
"iat","","499","f","27","111891","desert","nature","nature","nature","school","true",""
"iat","","1051","f","29","113204","flora","nature","nature","nature","school","true",""
"iat","","664","f","31","114129","ecosystem","nature","nature","nature","school","true",""
"iat","","1616","j","33","116014","professor","school","school","nature","school","true",""
"iat","","618","f","35","116898","ecosystem","nature","nature","nature","school","true",""
"iat","","529","j","37","117683","semester","school","school","nature","school","true",""
"iat","","571","f","39","118507","polar","nature","nature","nature","school","true",""
"iat","","661","j","41","119435","homework","school","school","nature","school","true",""
"iat","","591","f","43","120292","desert","nature","nature","nature","school","true",""
"iat","","645","j","45","121201","library","school","school","nature","school","true",""
"iat","","643","j","47","122100","homework","school","school","nature","school","true",""
"iat","","616","f","49","122974","mountains","nature","nature","nature","school","true",""
"iat","","684","f","51","123922","biodiversity","nature","nature","nature","school","true",""
"iat","","587","j","53","124765","syllabus","school","school","nature","school","true",""
"iat","","790","f","55","125817","flora","nature","nature","nature","school","true",""
"iat","","690","j","57","126767","curriculum","school","school","nature","school","true",""
"iat","","615","j","59","127650","textbook","school","school","nature","school","true",""
"iat","","1157","f","61","129074","atmosphere","nature","nature","nature","school","true",""
"iat","","625","f","63","129966","carbon","nature","nature","nature","school","true",""
"iat","","700","j","65","130931","curriculum","school","school","nature","school","true",""
"iat","","529","j","67","131719","graduation","school","school","nature","school","true",""
"iat","","637","j","69","132623","exam","school","school","nature","school","true",""
"iat","","610","f","71","133488","rainforest","nature","nature","nature","school","true",""
"iat","","843","j","73","134589","semester","school","school","nature","school","true",""
"iat","","1133","f","75","135976","ocean","nature","nature","nature","school","true",""
"iat","","1446","j","78","140113","soothing","serenity","serenity","anxiety","serenity","true",""
"iat","","677","f","80","141050","agitation","anxiety","anxiety","anxiety","serenity","true",""
"iat","","624","j","82","141929","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","545","f","84","142741","stress","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1127","j","86","144122","balance","serenity","serenity","anxiety","serenity","true",""
"iat","","523","j","88","144913","calm","serenity","serenity","anxiety","serenity","true",""
"iat","","576","f","90","145743","sweating","anxiety","anxiety","anxiety","serenity","true",""
"iat","","559","f","92","146559","fear","anxiety","anxiety","anxiety","serenity","true",""
"iat","","1100","j","94","147915","quietude","serenity","serenity","anxiety","serenity","true",""
"iat","","686","j","96","148865","composure","serenity","serenity","anxiety","serenity","true",""
"iat","","656","j","98","149786","tension","anxiety","anxiety","anxiety","serenity","false",""
