"participant_ID","d_scores","whichprime","questionnaire","d_score"
"eco-emotions-2024-11-05-21-43-06",0.447653339749456,"climate-anxiety",1.1,0.447653339749456
"eco-emotions-2024-11-05-21-43-21",0.732718297954066,"school-anxiety",2.4,0.732718297954066
"eco-emotions-2024-11-05-22-34-42",0.306827666417551,"neutral",1.3,0.306827666417551
"eco-emotions-2024-11-05-22-37-48",0.386035909082366,"school-anxiety",1.1,0.386035909082366
"eco-emotions-2024-11-05-22-39-51",0.120901886758661,"school-anxiety",2.4,0.120901886758661
"eco-emotions-2024-11-05-22-42-16",-0.492402541940201,"neutral",2,-0.492402541940201
"eco-emotions-2024-11-05-23-11-25",0.685545683535501,"school-anxiety",1.7,0.685545683535501
"eco-emotions-2024-11-06-21-06-30",0.982682193795859,"school-anxiety",1.6,0.982682193795859
"eco-emotions-2024-11-06-23-05-41",0.10931808093398,"climate-anxiety",1.8,0.10931808093398
"eco-emotions-2024-11-08-01-32-58",0.514510934870452,"climate-anxiety",1.7,0.514510934870452
"eco-emotions-2024-11-11-05-51-33",0.391549309428793,"climate-anxiety",3,0.391549309428793
"eco-emotions-2024-11-11-20-09-47",0.678002591469024,"neutral",1,0.678002591469024
"eco-emotions-2024-11-12-00-05-05",-0.0631141674563275,"school-anxiety",1,-0.0631141674563275
"eco-emotions-2024-11-12-00-14-54",NA,"neutral",1,NA
"eco-emotions-2024-11-12-02-53-11",0.476568988244926,"neutral",1.9,0.476568988244926
"eco-emotions-2024-11-12-04-18-49",-0.120165968735702,"neutral",2,-0.120165968735702
"eco-emotions-2024-11-12-04-24-24",1.09107604552245,"school-anxiety",1.9,1.09107604552245
